EXFOR Units, Expansion, Comments, Pint Units
MB/SR2/MEV,mb per steradian-squared per MeV,' = mb / (sr**2 * MeV)',millibarns/(steradian**2*MeV)
MUB/SR2KEV,microbarns per steradian**2 keV,' = micro-b / (sr**2 * keV)',microbarns/(steradian**2*keV)
MUB/SR2MEV,microbarns per steradian**2 MeV,' = micro-b / (sr**2 * MeV)',microbarns/(steradian**2*MeV)
MB/GEV2/C2,millibarns per (GeV/c)**2,,millibarns/(GeV/c)**2
NB/GEV2/C2,nanobarns per (GeV/c)**2,,nanobarns/(GeV/c)**2
MB/SR2MEV2,mb per steradian**2 MeV**2,' = mb / (sr**2 * MeV**2)',millibarn / megaelectron_volt ** 2 / steradian ** 2
NB/SR2MEV2,nanobarns per steradian**2 MeV**2,,nanobarns per steradian**2 MeV**2
B/SR,barns/steradian,,barns/steradian
MB/SR,millibarns per steradian,,millibarns/steradian
MU-B/SR,microbarns per steradian,,microbarns/steradian
NB/SR,nanobarns per steradian,' = nanobarns / (sr * MeV)',nanobarns/steradian
MB/SR2,millibarns per steradian-squared,,millibarns/steradian**2
MUB/SR2,microbarns per steradian**2,,microbarns/steradian**2
NB/SR2MEVC,nanobarns / (sr**2 * MeV/c),,nanobarns / (steradian**2 * MeV/c)
B/SR/EV,barns per steradian per eV,' = barns / (sr * eV)',barns/steradian/eV
B/SR/GEV,barns per steradian per GeV,' = barns / (sr * GeV)',barns/steradian/GeV
B/SR/KEV,barns per steradian per keV,' = barns / (sr * keV)',barns/steradian/keV
B/SR/MEV,barns per steradian per MeV,' = barns / (sr * MeV)',barns/steradian/MeV
B/SR/MEVA,barns/steradian/(MeV/A),' = barns / (sr * MeV/A)',barns/steradian/(MeV/nuclear_mass_number)
B/SR/MI-EV,barns per steradian per milli-eV,' = barns / (sr * milli-eV)',barns/steradian/meV
MB/SR/EV,millibarns per steradian per eV,' = mb / (sr * eV)',millibarns/steradian/eV
MB/SR/GEV,millibarns per steradian per GeV,' = mb / (sr * GeV)',millibarns/steradian/GeV
MB/SR/KEV,millibarns per steradian per keV,' = mb / (sr * keV)',millibarns/steradian/keV
MB/SR/MEV,millibarns per steradian per MeV,' = mb / (sr * MeV)',millibarns/steradian/MeV
MUB/SR/MEV,microbarns per steradian per MeV,' = micro-b / (sr * MeV)',microbarns/steradian/MeV
NB/SR/MEV,nanobarns per steradian per MeV,,nanobarns/steradian/MeV
MB/SR/GEVC,millibarns/sr/(GeV/c),,millibarns/(steradian*(GeV/c))
MB/SR/MEVC,millibarns/sr. per MeV/c,' = mb / (sr * (MeV/c))',millibarns /(steradian*(GeV/c))
MUB/SRGEVC,microbarns /(sr*(GeV/c)),,microbarns /(steradian*(GeV/c))
MUB/SRMEVC,microbarns /(sr*(MeV/c)),,microbarns /(steradian*(MeV/c))
B/EV,barns per eV,,barn/eV
B/KEV,barns per keV,,barn/keV
B/MEV,barns per MeV,,barn/MeV
B/MEVA,barns per (MeV/A),' = barns / (MeV/A)',barns/(MeV/nuclear_mass_number)
B/MILLI-EV,barns per milli-eV,,barn/meV
MB/EV,millibarns per eV,,millibarn/eV
MB/KEV,millibarns per keV,,millibarn/keV
MB/MEV,millibarns per MeV,,millibarn/MeV
MU-B/MEV,micro-barns/MeV,,microbarns/MeV
NB/MEV,nanobarns per MeV,,nanobarns/MeV
MB/MEV/C,millibarns/(MeV/c),,millibarns/(MeV/c)
MUB/GEV/C,microbarns/(GeV/c),,microbarns/(GeV/c)
MUB/MEV/C,microbarns/(MeV/c),,microbarns/(MeV/c)
